title,description
"Senior Data Science Engineer at Inmar (Winston-Salem, NC) (allows remote)","<p>The Senior Data Science Engineer position is responsible for applying machine learning, data visualization, and other data science techniques to explore and create data-driven solutions to the problems and opportunities of Inmar&rsquo;s business units, working closely with application engineering teams to bring those solutions to production. This role provides thought leadership on new products and solutions and identifies viable solutions through applied research.</p><br /><br /><strong>Major <span>Responsibilities/Essential</span> Functions:</strong><p><br /><ul><br /><li>Use data science techniques and tools to explore and create solutions</li><br /><li>Identify, extract, clean, and transform data</li><br /><li>Work with business units and others to understand the problem space and challenges</li><br /><li>Work with application engineering teams to bring solutions to production</li><br /><li>Publicize results and findings via reports, presentations, and technical specifications</li><br /><li>Keep skills and knowledge up-to-date</li><br /></ul><br /><br /><strong>Education:</strong></p><br /><ul><br /><li><strong>Required: </strong>Bachelor&rsquo;s degree in Computer Science, Statistics, or any field with an applied quantitative and experimentation focus</li><br /><li><strong>Preferred: </strong>Masters or PhD in a quantitative and experimentation focused field</li><br /></ul><br /><br /><strong>Required Qualifications:</strong><p><br /><ul><br /><li>Extensive experience with machine learning, data visualization, and other data science techniques using Python, R, Scala, or other languages</li><br /><li>In-depth experience with database systems, both SQL and NoSQL, including Hadoop-based systems</li><br /><li>In-depth experience with software development (scripting, programming, versioning, testing, deploying, etc.) on Linux and Microsoft platforms</li><br /><li>In-depth experience with data processing, extraction, cleansing, and transformation</li><br /><li>Experienced at preparing reports and giving presentations for technical and non-technical audiences</li><br /><li>Self-directed and curious, but must be able to function well as part of a team</li><br /><li>Good understanding of the scientific method</li><br /><li>Constant learner</li><br /></ul><br /><br /><strong>Preferred Qualifications:</strong></p><br /><ul><br /><li>Experience with the SCRUM/Agile process</li><br /><li>Experience with Tableau or other data visualization dashboard tools</li><br /><li>Experience with Ansible and other deployment automation tools</li><br /><li>Experience with cloud-based platforms, such as Azure</li><br /></ul>"
"Senior DevOps Engineer K8s | Data Science Platform at Contiamo (Berlin, Germany)","<p><strong>About the role</strong></p><br /><p><strong>The product: A containerized data science environment</strong></p><br /><p>Our ambition is to create a platform that gives data scientists a flexible, consistent, and simple environment based on Docker containers, where their code can be written in a large variety of languages (Python, R, Go, Scala). This tool then turns their code into stateless functions, that can be easily deployed into powerful data pipelines.</p><br /><p><strong>The stack</strong></p><br /><p>Docker, Kubernetes, Rancher, Ansible</p><br /><p><strong><strong>The challenge</strong></strong></p><br /><ul><br /><li>Having great DevOps engineering support is crucial in order to guarantee that our micro-service based platform runs smoothly and reliably, no matter where it is deployed (we support cloud and on-premise deployments).</li><br /><li>Our components are mostly written in Go, with some Scala and a bit of Python mixed in and all of them expose well-defined interfaces. We always keep operational requirements in mind when developing new services.</li><br /><li>We're looking for someone who can actively drive our roadmap in the area as part of our technical operations team, who can evaluate new technologies and wants to be a great partner for the rest of the tech team.</li><br /></ul><br /><p><strong><strong>Your profile</strong></strong></p><br /><ul><br /><li>You have senior-level experience with complex production deployments, know your way around Kubernetes and have in depth operational experience with at least one of the big three cloud providers (AWS, gcloud, Azure).</li><br /><li>Software engineering experience is a big plus, particularly in Go.</li><br /></ul><br /><p><strong>About us</strong></p><br /><p><strong>Who we are</strong></p><br /><ul><br /><li>Contiamo is a Berlin-based, fast-growing tech company. We offer a flexible data platform enabling businesses to create interactive, data-driven decision tools and automations. Our mission is to combine sophisticated data science with a great user interface and experience.</li><br /><li>We are a tech-driven company and keep a close watch on recent scientific developments and emerging technologies. We love open-source. We are a very international team with interesting people from all over the world (95% of us have relocated to Berlin).</li><br /></ul><br /><p><strong>How we work</strong></p><br /><ul><br /><li>We strongly believe in the importance of uninterrupted time to get stuff done and quality over quantity when it comes to working hours. We prefer to keep our schedule meeting-light and work in a library-like atmosphere during the core hours.</li><br /><li>We believe the ability to give and get constructive feedback and express divergent ideas is crucial to make innovation come to life. We live a very open discussion culture and prefer the evaluation of ideas based on merit over top-down decision making.</li><br /><li>We strongly believe in ownership of one's features, from spec to implementation to operation. We also understand that ownership comes with a sense of responsibility towards others that depend on the results of our work.</li><br /><li>We believe that that everybody should be able to find meaning in their work. We match assignments based on both ability and individual interests and discuss your progress and individual needs every 3 months.</li><br /><li>We don't see people as ""resources"" and genuinely care about each other. We also understand that there's more than fancy perks and cool events to people's satisfaction and engagement. We continuously work towards an environment providing a lot of autonomy, transparency and development opportunities and rely on everybody's feedback to hold us accountable for maintaining our high standards.</li><br /></ul><br /><p><strong>About the interview process</strong></p><br /><p><strong>How we get to know each other</strong></p><br /><ol><br /><li>We like to start out with a brief 20-30min session for a mutual introduction. We tell you about our company, product and culture and are happy to answer any questions you might have. From your side, we're mostly interested in understanding what kind of challenges you're looking for, what technologies you'd like to work with and what role you'd like to be in.</li><br /><li>If both sides agree that this could be a good fit, we move on to a more technical session. We ask you to walk us through one of your past projects as if we were new colleagues joining you on the job. The ability to communicate effectively and concisely about complex systems and trade-offs between different approaches is key.</li><br /><li>In a second technical session, we discuss some of the technologies and concepts you have used. We also give you a walk-through of our product and solutions, discuss our architecture and components. Finally we try to scope your initial role and focus &mdash; should you be joining us.</li><br /><li>In the last session, we discuss the remaining details, logistics and plan your relocation.</li><br /></ol><br /><p>We see the interview process as a mutual opportunity to get to know each other &mdash; at eye level. That's why we won't ask you to work for free on any coding assignments and always strive for responding within hours, not weeks.</p>"
"Senior Frontend Developer | Data Science Platform at Contiamo (Berlin, Germany)","<p><strong>About the role</strong></p><br /><p><strong>The challenge:&nbsp;A sophisticated data science platform with a great user interface</strong></p><br /><ul><br /><li>We offer a flexible data platform enabling businesses to create interactive, data-driven decision tools and automations. Our mission is to combine sophisticated data science with a great user interface and experience.</li><br /><li>Our frontend is an incredibly important part of our product. It makes our powerful analyses easily accessible. Your job will be to design and implement new features that allow our users to visualize and interact with their data.</li><br /></ul><br /><p><strong>The Stack</strong></p><br /><p>React, Redux, ES6, Typescript, D3, Webpack</p><br /><p><strong>Your Profile</strong></p><br /><ul><br /><li>You have a very solid understanding of separation of concerns, design patterns and testing.</li><br /><li>You have working experience with React, and a strong understanding of its core concepts.</li><br /><li>You see benefits in static typing - especially of core components and libraries.</li><br /><li>We use D3 heavily. Bonus points for prior D3 experience.</li><br /><li>If you're interested in a UI-focused role, we appreciate a strong understanding of visual design and user experience principles.</li><br /><li>If you're interested in a role more focused on front-end application architecture, we appreciate a strong understanding of state management, application flow and server communication principles.</li><br /></ul><br /><p><strong>About us</strong></p><br /><p><strong>Who we are</strong></p><br /><ul><br /><li>Contiamo is a Berlin-based, fast-growing tech company. We offer a flexible data platform enabling businesses to create interactive, data-driven decision tools and automations. Our mission is to combine sophisticated data science with a great user interface and experience.</li><br /><li>We are a tech-driven company and keep a close watch on recent scientific developments and emerging technologies. We love open-source. We are a very international team with interesting people from all over the world (95% of us have relocated to Berlin).</li><br /></ul><br /><p><strong>How we work</strong></p><br /><ul><br /><li>We strongly believe in the importance of uninterrupted time to get stuff done and quality over quantity when it comes to working hours. We prefer to keep our schedule meeting-light and work in a library-like atmosphere during the core hours.</li><br /><li>We believe the ability to give and get constructive feedback and express divergent ideas is crucial to make innovation come to life. We live a very open discussion culture and prefer the evaluation of ideas based on merit over top-down decision making.</li><br /><li>We believe that that everybody should be able to find meaning in their work. We match assignments based on both ability and individual interests and discuss your progress and individual needs every 3 months.</li><br /><li>We don't see people as ""resources"" and genuinely care about each other. We also understand that there's more than fancy perks and cool events to people's satisfaction and engagement. We continuously work towards an environment providing a lot of autonomy, transparency and development opportunities and rely on everybody's feedback to hold us accountable for maintaining our high standards.</li><br /></ul><br /><p><strong>How we get to know each other</strong></p><br /><ol><br /><li>We like to start out with a brief 20-30min session for a mutual introduction. We tell you about our company, product and culture and are happy to answer any questions you might have. From your side, we're mostly interested in understanding what kind of challenges you're looking for, what technologies you'd like to work with and what role you'd like to be in.</li><br /><li>If both sides agree that this could be a good fit, we move on to a more technical session. We ask you to walk us through one of your past projects as if we were new colleagues joining you on the job. The ability to communicate effectively and concisely about complex systems and trade-offs between different approaches is key.</li><br /><li>In a second technical session, we discuss some of the technologies and concepts you have used. We also give you a walk-through of our product and solutions, discuss our architecture and components. Finally we try to scope your initial role and focus &mdash; should you be joining us.</li><br /><li>In the last session, we discuss the remaining details, logistics and plan your relocation.</li><br /></ol><br /><p>We see the interview process as a mutual opportunity to get to know each other &mdash; at eye level. That's why we won't ask you to work for free on any coding assignments and always strive for responding within hours, not weeks.</p>"
"Data Scientist at Haraj (Riyadh, Saudi Arabia)","<p>We are looking for Data Scientist; Data Analyst; to join our team. The job responsibilities will be as follows:</p><br /><br /><ul><br /><li>&nbsp;Research, design, and implement algorithms to improve our local search engine.</li><br /><li>&nbsp;Design and implement personalized recommendations based on users' detected behavior.</li><br /><li>&nbsp;Perform data wrangling to extract exploratory insights.</li><br /><li>&nbsp;Analyze and extract relevant information from large datasets to make data driven decisions.</li><br /><li>&nbsp;Use data to predict future patterns and user behavior.&nbsp;</li><br /><li>&nbsp;Design and experiment machine learning in deep learning models to predict future outcomes and meet our needs.</li><br /></ul><br /><br /><p>Requirements:</p><br /><ul><br /><li>&nbsp;Bachelor Degree in Computer Science/Statistics/Math or Engineering.</li><br /><li>&nbsp;Deep understanding and experience of NLP and Machine Learning.</li><br /><li>&nbsp;Strong knowledge of MySQL and ElasticSearch.</li><br /><li>&nbsp;Strong software development skills in R or Python.</li><br /><li>&nbsp;Experience in solving a real world problem.</li><br /><li>&nbsp;Proficiency in Arabic &amp; English with excellent communication skills.</li><br /><li>&nbsp;Good working experience of Linux OS.</li><br /></ul>"
"Senior Data Scientist => Paid Relocation to Amsterdam <= at Booking.com (Amsterdam, Netherlands)","<p>Booking.com is looking for data savvy professionals to join our team of data scientists. As a Senior Data Scientist, you will be working with stakeholders throughout the company to translate business needs into tangible data science projects. You will be hands on and act as a thought leader in a particular domain of expertise. You&rsquo;ll also mentor new and more junior co-workers on the skills they need to build successful careers at Booking.com. If you consider yourself to be that unique hybrid of data hacker, business strategist, communicator and mentor that maintains a strong customer focus and values pragmatism over perfection, then we&rsquo;d like to hear from you.</p><br /><p>The Data Scientists at Booking.com support all areas of our business: Customer Service, Accommodation Partners, Front End, Security&hellip; Even our newer products like Booking Home and Business Bookers. Your challenge will be utilizing our petabyte scale data to support business decisions and improve our products. Joining a cross functional team of developers, designers, and product owners, we invite you to help us crunch the data to ensure our place as the planet&rsquo;s #1 accommodation site.</p><br /><p><strong>B.responsible</strong></p><br /><ul><br /><li>Transform large, complex datasets into pragmatic, actionable insights. &nbsp;</li><br /><li>Leverage data to identify, quantify and influence tangible business gain.</li><br /><li>Ability to see beyond the numbers &ndash; be the voice of data when communicating to decision makers, product owners and team leaders.</li><br /><li>Have the capacity to thrive in our fast-paced environment, adapt quickly and take ownership of your work.</li><br /><li>Challenge ideas and methods while working with talented, highly skilled team members.</li><br /><li>Contribute to the growth of Booking.com through interviewing, on-boarding, mentoring and being the external ambassador of Booking.com</li><br /></ul><br /><p><strong>B.skilled</strong></p><br /><ul><br /><li>Minimum 5 years of experience in a relevant role</li><br /><li>Masters, PhD, or equivalent experience in a quantitative field (computer science, physics, mathematics, engineering, bioinformatics, etc.)</li><br /><li>An all around data scientist: strong statistics background, experience in algorithm programming, experimentation, data visualization, machine learning, optimization and big data</li><br /><li>Experience applying Data Science to commercial problems.</li><br /><li>Experience collaborating cross functionally (i.e. Developers, UX Experts, Product Owners, etc.)</li><br /><li>Strong working knowledge of Python, Hadoop, SQL, R or similar technologies.</li><br /><li>Excellent communication skills; the ability to convey complex analysis results clearly and with conviction to all stakeholder levels</li><br /><li>Interest and experience in coaching, mentoring and technical leadership</li><br /></ul><br /><p>For this position we also require strong expertise in applying at least one of the following fields or problem domains:</p><br /><ul><br /><li>Machine Learning, Reinforcement Learning, Deep Learning, Natural Language Processing, Speech Recognition, Computer Vision, Recommender Systems, Information Retrieval, Game Theory, Econometrics, Operations Research, Causal Inference / Experimentation, Forecasting, or another area of your choice that you think will help us to give our customers the best experience in the world!</li><br /></ul><br /><p><strong>B.offered</strong></p><br /><p>We are a performance-based company that offers career advancement and lucrative compensation, including bonuses and stock potential. &nbsp;We also offer what we call the &ldquo;Booking Deal&rdquo; with other competitive perks and benefits.</p><br /><p>This position is open to worldwide candidates and, in the case of relocation, we will assist you with a generous relocation package, ensuring a smooth transition to working and living in Amsterdam. &nbsp;</p>"
"Senior Data Scientist at REAN Cloud (Boulder, CO) (allows remote)","<p>REAN Cloud&nbsp;is a Premier Amazon Web Services Provider and has grown over 500% in the past year and a half. That growth would not be possible without identifying top talent within one of the fastest growing verticals in technology.&nbsp;</p><br /><p>You would be collaborating with a talented, senior team providing best-in-class solutions for extremely complex problems and have the ability to work on the most cutting edge technology platforms and tools available.&nbsp;</p><br /><p>If you have experience automating large scale deployments with modern configuration and deployment management systems this could be the ideal role for you.&nbsp;REAN Cloud&nbsp;works with enterprise level organizations on some of the world&rsquo;s largest automation and cloud deployment projects, and get to work with the coolest technologies throughout the process!</p><br /><p><strong>Data Scientist</strong></p><br /><p><strong>Skills</strong></p><br /><ul><br /><li>Extensive background leading analysis and modeling to provide business insights</li><br /><li>Excellent problem solving skills with the ability to design algorithms including data profiling, clustering, anomaly detection, and predictive modeling</li><br /><li>Hands-on experience developing advanced descriptive, real-time and predictive analytics in SQL, R, Python, Hadoop, Spark, SparkML, Hive, Presto, MXNet, TensorFlow</li><br /><li>Experience developing machine learning solutions</li><br /><li>Proficient with SQL databases and knowledge of standard methodologies</li><br /><li>Expertise in creation of insights with reports and dashboards using industry standard business intelligence tools like Tableau, Looker and Jupyter Notebooks</li><br /><li>Experience with AWS data services like Kinesis, EMR, Redshift, Data Pipeline</li><br /><li>Ability to work with development teams to deliver high-quality</li><br /><li>Agile / Scrum development methodology</li><br /><li>Excellent documentation habits</li><br /></ul><br /><p><strong>Key Focus Areas</strong></p><br /><ul><br /><li>Advanced statistical techniques to create high performing predictive models and creative analyses to address business challenges</li><br /><li>Business intelligence visualization of insights for customers</li><br /><li>Consultative customer interactions and deliverables</li><br /><li>Large-scale data management &amp; workflow</li><br /><li>Analytic development and automation</li><br /></ul><br /><br /><p>If this sounds like something you&rsquo;d be interested in pursuing, please don&rsquo;t hesitate to apply today! We are growing at an unprecedented rate and this is a great time to get in on the ground floor of something extremely exciting.</p>"
"Senior Data Scientist - Machine Learning Expert (m/f) at MYTOYS GROUP (Berlin, Germany)","<p>The MYTOYS Group with headquarters in Berlin belongs to the Otto Group and is the leading European e-commerce company with a focus on families. In addition to myToys, our online store for toys and children's products, the MYTOYS GROUP includes the brands mirapodo, one of the largest online shoe shops in Germany, the ladies fashion online store ambellis, the home and living specialist yomonda as well as limango, Germany's leading shopping community for women and young families.</p><br /><p>At the MYTOYS GROUP employees get everything they need to help them embark on a successful career, including interesting entry and career opportunities in the high growth e-commerce market.</p><br /><br /><p>Be part of our new Data Science team and have a major impact on the user experience of millions of myToys customers, helping them find the most relevant results for their searches in a faster way.</p><br /><p>We are looking for a <strong>Senior&nbsp;Data Scientist&nbsp;- Machine Learning Expert (m/f)</strong>&nbsp;who will apply and develop cutting-edge algorithms to determine the optimal choice and the best ranking of a large number of product categories and articles, applying explorative, descriptive and predictive data analysis.</p><br /><br /><p><strong>Job requirements:</strong></p><br /><ul><br /><li>A successfully completed M.Sc. or Ph.D. degree in Mathematics, Statistics, Physics, Software Engineering or a similar discipline</li><br /><li>More than 3 years&rsquo; experience working in a machine learning, data analysis or recommender systems environment</li><br /><li>Proficient in SQL and in either R or Python</li><br /><li>An exceptionally analytical mind-set, with the ability to handle and draw insights from large amounts of data</li><br /><li>Fluent English</li><br /></ul>"
"Data Scientist (m/f) | Hamburg at Kreditech (Hamburg, Germany)","<p><strong>Join the financial revolution!</strong></p><br /><p>Are you passionate about finance and want to make a real change? Join Kreditech and our team of over 300 professionals and become part of a transforming industry. From engineering, to design, to analytics, and collections, we do things differently and we reward great ideas, team work and persistence. We have a lot of work to do &ndash; and we want you to join us!</p><br /><p><strong>Your Role</strong></p><br /><p>You will be joining a dynamic, fast-growing, diverse, multi-functional and multidisciplinary team. You will contribute with your unique background and experience, your fast-learning ability and motivation.</p><br /><p>This is the optimal opportunity for you to:</p><br /><ul><br /><li>Apply data science in areas like credit risk modelling and profitability analysis; acquisition, retention and debt collection optimization; product personalization and conversion optimization</li><br /><li>Work with state-of-the art stack of data processing and modelling technologies</li><br /><li>Experience a wide range of problems and proposed solutions - Constantly innovate</li><br /><li>Develop machine learning expertise beyond basic supervised and unsupervised learning</li><br /><li>Get responsibility and ownership right from the first day along with the unique chance to spearhead the way big data is used in one of the fastest growing Fintech organizations</li><br /><li>Prototype and productionize innovative, data-intensive, fully-automated, machine-learning-based decision engines</li><br /><li>Feel the excitement of extracting value from data and impacting the performance of an entire organization</li><br /></ul><br /><p>&nbsp;<strong>Your Strengths</strong></p><br /><p>&nbsp;Essential<strong>:</strong></p><br /><ul><br /><li>Bachelors or Masters with strong academic performance in a quantitative field (Computer Science, Statistics, Mathematics, Electrical Engineering, Business Informatics).</li><br /><li>Expertise in Machine Learning.</li><br /><li>1 or more years of working experience in a similar role.</li><br /><li>Ability to process data and build predictive models in R (R Studio).</li><br /><li>Experience in analyzing complex data and presenting your conclusions in a clear and concise manner to a wide range of audiences.</li><br /><li>You are familiar with SQL and NoSQL database technologies, and are capable of at least querying them for any data required.</li><br /><li>You speak English fluently-any other language or German are not required but an additional plus</li><br /></ul><br /><p>&nbsp;Preferred<strong>:</strong></p><br /><ul><br /><li>PhD degree in a quantitative field.</li><br /><li>2 or more years of experience as a data scientist.</li><br /><li>Absolutely fluent in R, you could call yourself an R-hacker.</li><br /><li>Familiarity with Python.</li><br /><li>Experience developing data products or writing production-ready code.</li><br /></ul><br /><p><strong>How to apply:</strong></p><br /><p>We accept applications exclusively through our recruiting platform, found under the &lsquo;Apply Now&rsquo; link. There are a few screening questions, and we would like your CV and a short cover letter. That's it! We look forward to hearing from you.</p>"
"Senior Principal Data Scientist at EdgeRock Technology Partners (New York, NY)","<p><strong>Key Responsibilities / Duties:&nbsp;</strong></p><br /><ul><br /><li>You like Big Data, and you cannot lie. This is essential because you will be responsible for designing, developing, and implementing Big Data platforms using Cloud architecture with structured and unstructured data sources. You will be our proverbial data Zen garden &mdash; you&rsquo;ll be responsible for bringing clarity to the chaos.</li><br /><li>You can bring the complex algorithms your dreams are made of and make them a reality, and you can easily analyze and translate the complex models and algorithms of others&rsquo; dreams.</li><br /><li>Perform machine learning and statistical analysis methods, such as classification, collaborative filtering, association rules, sentiment analysis, topic modeling, time-series analysis, regression, statistical inference, and validation methods</li><br /><li>Analyze and model structured data using advanced statistical methods and implement algorithms and software needed to perform analyses</li><br /><li>Build recommendation engines, sentiment analyzers and classifiers for unstructured and semi-structured data</li><br /><li>Perform explanatory data analysis, generate and test working hypotheses, prepare and analyze historical data to identify patterns</li><br /><li>Design rich data visualizations to communicate complex ideas to customers or company leaders</li><br /><li>Utilize state-of-the-art methods for data mining</li><br /><li>Extend IVZ data with third party sources of information, as required</li><br /><li>Process, cleanse, and verify the integrity of data used for analysis</li><br /><li>Perform ad-hoc analysis and present results in a clear manner</li><br /></ul><br /><p><strong>Qualifications</strong></p><br /><br /><p><strong><strong>WORK EXPERIENCE / KNOWLEDGE:</strong></strong>&nbsp;</p><br /><ul><br /><li>10 to 15 years professional experience</li><br /><li>7+ years of experience with top-tier firms in big data analytics, management consulting, or comparable role in corporate setting</li><br /><li>4+ years of experience with machine learning</li><br /><li>5+ years of experience with SQL</li><br /><li>4+ years in financial services preferred</li><br /><li>Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.</li><br /><li>Good applied statistics skills, such as distributions, statistical testing, regression, etc.</li><br /><li>Extensive predictive analytics experience with Python</li><br /><li>In-depth knowledge of statistical software packages (e.g. SAS and R)</li><br /><li>Experience with data visualization tools</li><br /><li>Experience with big data technologies such as Hadoop, R, and Java / MapReduce</li><br /><li>Experience with NoSQL databases, such as MongoDB, Cassandra, HBase, DynamoDB&nbsp;</li><br /><li>Experience with data and machine learning services using Azure, Amazon Web Services (AWS), and / or Google Cloud</li><br /><li>Familiar with Agile software development (Scrum is a plus)</li><br /><li>DevOps knowledge is a plus</li><br /></ul>"
"Director, Data Science & Insights at Achievement Network (Boston, MA) (allows remote)","<p><em>Location: &nbsp;Flexible (Boston, MA or New England region preferred)</em></p><br /><p><em>Position available: November 2017</em></p><br /><p><strong><strong>THE OPPORTUNITY</strong></strong></p><br /><p>We are seeking a Director to join the Organizational &nbsp;Effectiveness (OE) team. &nbsp;The OE team ensures that ANet has the right goals that motivate and drive us to achieve our mission, spearheads our shared organizational focus on improving our core service model, and builds a research mindset and capability across ANet&rsquo;s internal teams. This role reports to the Vice President, Org Effectiveness and is the ideal position for someone who has a passion for growing an organization&rsquo;s confident use of data in order to shape strategic decisions and to deepen its long-term impact.</p><br /><p>ANet is flexible to remote working, with occasional travel to ANet&rsquo;s National Office in Boston. Therefore, proximity to the New England area and/or eastern time zone is preferable.</p><br /><p><strong>WHAT YOU&rsquo;LL DO</strong></p><br /><p><strong>Examine our organizational impact on school performance and hone our organizational focus on impacting school practice</strong></p><br /><ul><br /><li><strong><strong>Lead organization-wide school and student learning impact reporting against annual goals &nbsp;</strong></strong></li><br /></ul><br /><ul><br /><ul><br /><ul><br /><li>Manage complex analyses to extract new insights and year-over-year data patterns that convey a clear, compelling picture of ANet&rsquo;s national impact over time</li><br /><li>Convey results on goals in a way that is user-friendly and compelling for internal teams &nbsp;and that can be used for external generalist audiences (i.e. impact statements)</li><br /><li>Leverage strong visualizations and presentations to boost end user (primarily senior leadership &amp; marketing/business development teams) comprehension of national impact results</li><br /></ul><br /></ul><br /></ul><br /><ul><br /><li><strong><strong>Lead impact analyses that test and improve ANet&rsquo;s core service model</strong></strong></li><br /></ul><br /><ul><br /><ul><br /><li>Execute organization-wide annual analyses that identify the relationships between state assessment outcomes (student and school performance) and internal practice with inputs data sources (school demographic data, school practice data, partner school survey data, etc.)</li><br /><li>Conduct complex analyses to &nbsp;extract relevant findings/insights and year-over-year data patterns to share with senior leadership tied to 2020 strategic plan and impact vision</li><br /><li>Partner closely with key business leads to identify annual prioritized research questions, drawing from prior years&rsquo; results, annual strategic goals, and ongoing learning agenda priorities</li><br /></ul><br /></ul><br /><ul><br /><li><strong>Lead reporting and analysis of ANet&rsquo;s evolving non-core service model offerings to assess impact</strong></li><br /></ul><br /><p><strong>Lead long-cycle learning on ANet&rsquo;s core service model, primarily via mix of data collection and analytic improvement strategies</strong></p><br /><ul><br /><li><strong><strong>Lead data characterization and analyses of newer ANet data sources to deepen ANet&rsquo;s ability to test and improve its core service model</strong></strong></li><br /></ul><br /><ul><br /><ul><br /><li>Lead exploratory analyses of school partner data to produce new, actionable findings that accelerate improving ANet&rsquo;s core service model and other service offerings</li><br /><li>In collaboration with other OE team members and internal clients, set key research questions</li><br /><li>Partner with key internal product and program teams to finalize use cases and baseline set definitions, metrics, and modes of analyses</li><br /><li>Define reporting requirements for Engineering team</li><br /><li>Examine and conduct feasibility checks of data in Google Analytics and identify and establish business and analytic rules for using tools such as unSampler</li><br /><li>Explore opportunities with the Engineering team to identify longer-term data storage and cloud solutions</li><br /></ul><br /></ul><br /><p><strong><strong>WHO YOU ARE &amp; WHAT YOU BRING</strong></strong></p><br /><p>Must Have:</p><br /><ul><br /><li>You have prior experience and success designing and leading internal program evaluations and/or business intelligence projects for scaling organizations.</li><br /><li>You bring proficiency and versatility with Excel and at least one statistical analysis software package (R, SAS, Stata, or SPSS) and are confident in advising others on matching the right analytic tool to the analytic task at hand.</li><br /><li>You are optimistic that all of our schools can be successful if we learn together and that comes through in your facility with analyzing information and communicating complex findings to both technical and non-technical audiences.</li><br /></ul><br /><ul><br /><li>You bring proficiency with data visualization software (i.e. Tableau) and website usage analytics and software tools (Google Analytics).</li><br /><li>You are motivated by working in an environment where we live out our core values daily and are eager to examine personal archetypes and biases while discussing topics related to race, class, and privilege which relate to ANet&rsquo;s Advance Equity and People Matter values</li><br /></ul><br /><p>Nice to Have:</p><br /><ul><br /><li>Prior experience in a school, education, or non-profit setting</li><br /><li>Degree in quantitative field, program evaluation, analytics, or statistics</li><br /><li>Proficiency with unSampler</li><br /><li>SQL proficiency</li><br /></ul><br /><p><strong><em>ANet is committed to maximizing the diversity of our organization. We are an equal opportunity employer and encourage individuals of all ethnic and racial backgrounds and gender identities to apply to our positions.</em></strong></p>"
"Data Scientist/Data Engineer (m/f) - Munich, Germany at Westwing Home & Living (Munich, Germany)","<p>The&nbsp;<strong>Westwing</strong>&nbsp;mission is to inspire and make every home a beautiful home. We are on a quest to bring the wonders of eCommerce for home &amp; living to our more than 30 million members in 14 countries on three continents. In less than 6 years on the market, we have grown to more than 250 million Euros in annual sales, and the opportunity ahead of us is massive.</p><br /><p>The Westwing team is the secret to our success. Our more than 1,500 team members balance creativity and style with innovative technology and strong business fundamentals. We are proud to be working with inspiring colleagues who are smart, fun, ambitious, and looking for the challenge to transform an industry and take it into the future.</p><br /><p>Do you think this could be you? To pursue our ambitious growth strategy, we are looking for a&nbsp;<strong>Data Scientist/Data Engineer (m/f), focusing on growth/CRM</strong>. You will assume a key role in our team by providing data-driven, actionable insights that shape our business, based on DWH infrastructure that you help to set up.</p><br /><p><strong>Your responsibilities will be:</strong></p><br /><ul><br /><li>Derive data-driven insights to facilitate growth and customer (re-)activation</li><br /><li>Develop, implement and advance analyses as well performance tracking / KPI reports in alignment with your team</li><br /><li>Define and implement key parts of our data warehouse infrastructure and data marts based on needs of the business.</li><br /></ul><br /><p><strong>You come with:</strong></p><br /><ul><br /><li>A degree in a quantitate discipline such as Computer Science, Mathematics or Physics.</li><br /><li>At least 2 years of practical experience as data scientist, data engineer, analyst, data warehouse developer or similar role</li><br /><li>Excellent skills in SQL, Excel as well as a statistical software (eg Python, R). Additional programming skills (eg VBA, PHP) are a plus.</li><br /><li>Good communication skills with experience presenting results in both written and verbal form</li><br /><li>Pragmatic, hands-on mindset with focus on fast and flawless execution</li><br /><li>Passion for data and transforming them pro-actively into business results</li><br /></ul><br /><p><strong>We offer:</strong></p><br /><ul><br /><li>A truly shaping tech position with high degrees of responsibility and autonomy</li><br /><li>Plenty of room for personal growth and professional development with high impact (e.g. hack days, pair programming, code reviews)</li><br /><li>A highly talented, dynamic, and international team</li><br /><li>Entrepreneurial experience in a well-financed, leading eCommerce company</li><br /><li>Work equipment of your choice</li><br /></ul><br /><p>Location: Munich</p>"
